,Facility Name,Operator Type,Year of Build,Accreditation Status,Spaces,URL
0,Bethany Calgary,Not for Profit/Non-Profit,1975,Accredited,416 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
1,Newport Harbour Care Centre,Private,2004,Accredited,127 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
2,Bow View Manor,Not for Profit/Non-Profit,1965,Accredited,231 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
3,Bow Crest Care Centre,Private,1964,Accredited,150 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
4,Clifton Manor,Not for Profit/Non-Profit,1972,Accredited,250 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
5,Mount Royal Care Centre,Private,1964,Accredited,93 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
6,Father Lacombe Care Centre,Not for Profit/Non-Profit,1965,Accredited,114 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
7,Didsbury District Health Services,Alberta Health Services,1974,Accredited,21 spaces,"{'FacilityInfo.aspx?id=564#contentStart', 'FacilityInfo.aspx?id=1007011#contentStart', 'FacilityInfo.aspx?id=1002427#contentStart', 'FacilityInfo.aspx?id=1616#contentStart', 'FacilityInfo.aspx?id=1030452#contentStart', 'FacilityInfo.aspx?id=1617#contentStart', 'FacilityInfo.aspx?id=1002425#contentStart', 'FacilityInfo.aspx?id=1000298#contentStart', 'FacilityInfo.aspx?id=1586#contentStart', 'FacilityInfo.aspx?id=1036502#contentStart', 'FacilityInfo.aspx?id=1058501#contentStart', 'FacilityInfo.aspx?id=1057520#contentStart', 'FacilityInfo.aspx?id=563#contentStart', 'FacilityInfo.aspx?id=1589#contentStart', 'FacilityInfo.aspx?id=1048893#contentStart', 'FacilityInfo.aspx?id=1642#contentStart', 'FacilityInfo.aspx?id=1002414#contentStart', 'FacilityInfo.aspx?id=1057526#contentStart', 'FacilityInfo.aspx?id=1007024#contentStart', 'FacilityInfo.aspx?id=1057518#contentStart', 'FacilityInfo.aspx?id=1067803#contentStart', 'FacilityInfo.aspx?id=1611#contentStart', 'FacilityInfo.aspx?id=567#contentStart', 'FacilityInfo.aspx?id=1627#contentStart', 'FacilityInfo.aspx?id=1057522#contentStart', 'FacilityInfo.aspx?id=1626#contentStart', 'FacilityInfo.aspx?id=1615#contentStart', 'FacilityInfo.aspx?id=1590#contentStart', 'FacilityInfo.aspx?id=1057527#contentStart', 'FacilityInfo.aspx?id=1057521#contentStart', 'FacilityInfo.aspx?id=1065601#contentStart', 'FacilityInfo.aspx?id=1057601#contentStart', 'FacilityInfo.aspx?id=1067960#contentStart', 'FacilityInfo.aspx?id=1637#contentStart', 'FacilityInfo.aspx?id=1057519#contentStart', 'FacilityInfo.aspx?id=1058670#contentStart', 'FacilityInfo.aspx?id=1070153#contentStart', 'FacilityInfo.aspx?id=1068301#contentStart', 'FacilityInfo.aspx?id=1061061#contentStart', 'FacilityInfo.aspx?id=1059556#contentStart', 'FacilityInfo.aspx?id=1067801#contentStart', 'FacilityInfo.aspx?id=1057530#contentStart', 'FacilityInfo.aspx?id=1069453#contentStart', 'FacilityInfo.aspx?id=1628#contentStart', 'FacilityInfo.aspx?id=1620#contentStart', 'FacilityInfo.aspx?id=1068101#contentStart', 'FacilityInfo.aspx?id=1061058#contentStart', 'FacilityInfo.aspx?id=1058507#contentStart', 'FacilityInfo.aspx?id=1622#contentStart', 'FacilityInfo.aspx?id=1057528#contentStart', 'FacilityInfo.aspx?id=1026302#contentStart', 'FacilityInfo.aspx?id=1057523#contentStart', 'FacilityInfo.aspx?id=1006955#contentStart', 'FacilityInfo.aspx?id=1057529#contentStart', 'FacilityInfo.aspx?id=1067254#contentStart', 'FacilityInfo.aspx?id=1624#contentStart', 'FacilityInfo.aspx?id=1652#contentStart', 'FacilityInfo.aspx?id=1596#contentStart', 'FacilityInfo.aspx?id=566#contentStart', 'FacilityInfo.aspx?id=1001306#contentStart', 'FacilityInfo.aspx?id=1066955#contentStart', 'FacilityInfo.aspx?id=1060352#contentStart'}"
